o-pe-ra-no-re,o-pe-ra-no-ro,o-pe-ra-no
ku-pa-ro2,ku-pa-ro-we,ku-pa-ro
a-pa-ta-wa-ja,a-pa-ta-wa-jo,a-pa-ta-wa
a-pi-qo-to,a-pi-qo-ta,a-pi-qo-ta-o
a-ke-ti-ri-ja-i,a-ke-ti-ri-ja,a-ze-ti-ri-ja
e-ti-wa-jo,e-ti-wa-ja-qe,e-ti-wa-ja
ka-e-sa-me-no,ka-e-sa-me-no-jo,ke-sa-me-no
e-ra-te-re-we,e-ra-te-re-wa-pi,e-re-te-re-wa-o
po-ro-u-te-u,po-ro-u-te-we,po-ro-u-te-wo
ta-ra-ma-ta,ta-ra-ma-o,ta-ra-ma-ta-o
e-ke-ra2-wo-ne,e-ke-ra2-wo,e-ke-ra2-wo-no
a-di-ri-ja-pi,a-di-ri-jo,a-di-ri-ja-pi-qe
e-ta-wo-ne-u,e-ta-wo-ne-we,e-ta-wo-ne-wo
po-ni-ke-a,po-ni-ke-ja,po-ni-ke-qe
a-ke-ti-ra2-o,a-ke-ti-ra2,a-pe-ti-ra2
pe-ri-qo-ta-o,pe-ri-qo-te-jo,pe-ri-qo-ta
te-mi-dwe-ta,te-mi-dwe-te,te-mi-dwe
a-ra-ro-mo-te-me-na,a-ra-ro-mo-te-me-no,a-ro-mo-te-me-na
we-da-ne-we,we-da-ne-wo,we-u-da-ne-we
a-ke-re-we,a-ke-re-wa-de,a-ke-re-wa
